Variables,Random Forest,Lasso,Elastic
Residential Housing Permits,0.28288221928861457,0.4340271793303086,0.34861997087118607
Plug-in Hybrid EV Units (standard plug),0.0023341650467933535,0.134276922228851,0.17334688349612448
EV Units (charging station),0.24893910061051408,0.4316958984408405,0.3691132616673224
Commercial Construction ($),0.24799285219153636,0.0,0.05602308365276873
Underground CAPEX IOU,0.21785166286254168,0.0,0.052896800312598274
